,0,yard
1,0,D
2,0,D
3,0,D
4,0,D
5,0,D
6,0,D
7,0,D
8,0,D
9,0,D
10,0,D
11,0,D
12,0,D
13,0,D
14,0,D
15,0,D
16,0,D
17,0,D
18,0,D
19,0,D
20,0,D
21,0,D
22,0,D
23,0,D
24,0,D
25,0,D
26,0,D
27,0,D
28,0,D
29,0,D
30,0,D
31,0,D
32,0,D
33,0,D
34,0,D
35,0,D
36,0,D
37,0,D
38,0,D
39,0,D
40,0,D
41,0,D
42,0,D
43,0,D
44,0,D
45,0,D
46,0,D
47,0,D
48,0,D
49,0,D
50,0,D
51,0,D
52,0,D
53,0,D
54,0,D
55,0,D
56,0,D
57,0,D
58,0,D
59,0,D
60,0,D
61,0,D
62,0,D
63,0,D
64,0,D
65,0,D
66,0,D
67,0,D
68,0,D
69,0,D
70,0,D
71,0,D
72,0,D
73,0,D
74,0,D
75,0,D
76,0,D
77,0,D
78,0,D
79,0,D
80,0,D
81,0,D
82,0,D
83,0,D
84,0,D
85,0,D
86,0,D
87,0,D
88,0,D
89,0,D
90,0,D
91,0,D
92,0,D
93,0,D
94,0,D
95,0,D
96,0,D
97,0,D
98,0,D
99,0,D
100,0,D
101,0,D
102,0,D
103,0,D
104,0,D
105,0,D
106,0,D
107,0,D
108,0,D
109,0,D
110,0,D
111,0,D
112,0,D
113,0,D
114,0,D
115,0,D
116,0,D
117,0,D
118,0,D
119,0,D
120,0,D
121,0,D
122,0,D
123,0,D
124,0,D
125,0,D
126,0,D
127,0,D
128,0,D
129,0,D
130,0,D
131,0,D
132,0,D
133,0,D
134,0,D
135,0,D
136,0,D
137,0,D
138,0,D
139,0,D
140,0,D
141,0,D
142,0,D
143,0,D
144,0,D
145,0,D
146,0,D
147,0,D
148,0,D
149,0,D
150,0,D
151,0,D
152,0,D
153,0,D
154,0,D
155,0,D
156,0,D
157,0,D
158,0,D
159,0,D
160,0,D
161,0,D
162,0,D
163,0,D
164,0,D
165,0,D
166,0,D
167,0,D
168,0,D
169,0,D
170,0,D
171,0,D
172,0,D
173,0,D
174,0,D
175,0,D
176,0,D
177,0,D
178,0,D
179,0,D
180,0,D
181,0,D
182,0,D
183,0,D
184,0,D
185,0,D
186,0,D
187,0,D
188,0,D
189,0,D
190,0,D
191,0,D
192,0,D
193,0,D
194,0,D
195,0,D
196,0,D
197,0,D
198,0,D
199,0,D
200,0,D
201,0,D
202,0,D
203,0,D
204,0,D
205,0,D
206,0,D
207,0,D
208,0,D
209,0,D
210,0,D
211,0,D
212,0,D
213,0,D
214,0,D
215,0,D
216,0,D
217,0,D
218,0,D
219,0,D
220,0,D
221,0,D
222,0,D
223,0,D
224,0,D
225,0,D
226,0,D
227,0,D
228,0,D
229,0,D
230,0,D
231,0,D
232,0,D
233,0,D
234,0,D
235,0,D
236,0,D
237,0,D
238,0,D
239,0,D
240,0,D
241,0,D
242,0,D
243,0,D
244,0,D
245,0,D
246,0,D
247,0,D
248,0,D
249,0,D
250,0,D
251,0,D
252,0,D
253,0,D
254,0,D
255,0,D
256,0,D
257,0,D
258,0,D
259,0,D
260,0,D
261,0,D
262,0,D
263,0,D
264,0,D
265,0,D
266,0,D
267,0,D
268,0,D
269,0,D
270,0,D
271,0,D
272,0,D
273,0,D
274,0,D
275,0,D
276,0,D
277,0,D
278,0,D
279,0,D
280,0,D
281,0,D
282,0,D
283,0,D
284,0,D
285,0,D
286,0,D
287,0,D
288,0,D
289,0,D
290,0,D
291,0,D
292,0,D
293,0,D
294,0,D
295,0,D
296,0,D
297,0,D
298,0,D
299,0,D
300,0,D
301,0,D
302,0,D
303,0,D
304,0,D
305,0,D
306,0,D
307,0,D
308,0,D
309,0,D
310,0,D
311,0,D
312,0,D
313,0,D
314,0,D
315,0,D
316,0,D
317,0,D
318,0,D
319,0,D
320,0,D
321,0,D
322,0,D
323,0,D
324,0,D
325,0,D
326,0,D
327,0,D
328,0,D
329,0,D
330,0,D
331,0,D
332,0,D
333,0,D
334,0,D
335,0,D
336,0,D
337,0,D
338,0,D
339,0,D
340,0,D
341,0,D
342,0,D
343,0,D
344,0,D
345,0,D
346,0,D
347,0,D
348,0,D
349,0,D
350,0,D
351,0,D
352,0,D
353,0,D
354,0,D
355,0,D
356,0,D
357,0,D
358,0,D
359,0,D
360,0,D
361,0,D
362,0,D
363,0,D
364,0,D
365,0,D
366,0,D
367,0,D
368,0,D
