,0,yard
1,0,P
2,0,P
3,0,P
4,0,P
5,0,P
6,0,P
7,0,P
8,0,P
9,0,P
10,0,P
11,0,P
12,0,P
13,0,P
14,0,P
15,0,P
16,0,P
17,0,P
18,0,P
19,0,P
20,0,P
21,0,P
22,0,P
23,0,P
24,0,P
25,0,P
26,0,P
27,0,P
28,0,P
29,0,P
30,0,P
31,0,P
32,0,P
33,0,P
34,0,P
35,0,P
36,0,P
37,0,P
38,0,P
39,0,P
40,0,P
41,0,P
42,0,P
43,0,P
44,0,P
45,0,P
46,0,P
47,0,P
48,0,P
49,0,P
50,0,P
51,0,P
52,0,P
53,0,P
54,0,P
55,0,P
56,0,P
57,0,P
58,0,P
59,0,P
60,0,P
61,0,P
62,0,P
63,0,P
64,0,P
65,0,P
66,0,P
67,0,P
68,0,P
69,0,P
70,0,P
71,0,P
72,0,P
73,0,P
74,0,P
75,0,P
76,0,P
77,0,P
78,0,P
79,0,P
80,0,P
81,0,P
82,0,P
83,0,P
84,0,P
85,0,P
86,0,P
87,0,P
88,0,P
89,0,P
90,0,P
91,0,P
92,0,P
93,0,P
94,0,P
95,0,P
96,0,P
97,0,P
98,0,P
99,0,P
100,0,P
101,0,P
102,0,P
103,0,P
104,0,P
105,0,P
106,0,P
107,0,P
108,0,P
109,0,P
110,0,P
111,0,P
112,0,P
113,0,P
114,0,P
115,0,P
116,0,P
117,0,P
118,0,P
119,0,P
120,0,P
121,0,P
122,0,P
123,0,P
124,0,P
125,0,P
126,0,P
127,0,P
128,0,P
129,0,P
130,0,P
131,0,P
132,0,P
133,0,P
134,0,P
135,0,P
136,0,P
137,0,P
138,0,P
139,0,P
140,0,P
141,0,P
142,0,P
143,0,P
144,0,P
145,0,P
146,0,P
147,0,P
148,0,P
149,0,P
150,0,P
151,0,P
152,0,P
153,0,P
154,0,P
155,0,P
156,0,P
157,0,P
158,0,P
159,0,P
160,0,P
161,0,P
162,0,P
163,0,P
164,0,P
165,0,P
166,0,P
167,0,P
168,0,P
169,0,P
170,0,P
171,0,P
172,0,P
173,0,P
174,0,P
175,0,P
176,0,P
177,0,P
178,0,P
179,0,P
180,0,P
181,0,P
182,0,P
183,0,P
184,0,P
185,0,P
186,0,P
187,0,P
188,0,P
189,0,P
190,0,P
191,0,P
192,0,P
193,0,P
194,0,P
195,0,P
196,0,P
197,0,P
198,0,P
199,0,P
200,0,P
201,0,P
202,0,P
203,0,P
204,0,P
205,0,P
206,0,P
207,0,P
208,0,P
209,0,P
210,0,P
211,0,P
212,0,P
213,0,P
214,0,P
215,0,P
216,0,P
