,0,yard
1,0,S
2,0,S
3,0,S
4,0,S
5,0,S
6,0,S
7,0,S
8,0,S
9,0,S
10,0,S
11,0,S
12,0,S
13,0,S
14,0,S
15,0,S
16,0,S
17,0,S
18,0,S
19,0,S
20,0,S
21,0,S
22,0,S
23,0,S
24,0,S
25,0,S
26,0,S
27,0,S
28,0,S
29,0,S
30,0,S
31,0,S
32,0,S
33,0,S
34,0,S
35,0,S
36,0,S
37,0,S
38,0,S
39,0,S
40,0,S
41,0,S
42,0,S
43,0,S
44,0,S
45,0,S
46,0,S
47,0,S
48,0,S
49,0,S
50,0,S
51,0,S
52,0,S
53,0,S
54,0,S
55,0,S
56,0,S
57,0,S
58,0,S
59,0,S
60,0,S
61,0,S
62,0,S
63,0,S
64,0,S
65,0,S
66,0,S
67,0,S
68,0,S
69,0,S
70,0,S
71,0,S
72,0,S
73,0,S
74,0,S
75,0,S
76,0,S
77,0,S
78,0,S
79,0,S
80,0,S
81,0,S
82,0,S
83,0,S
84,0,S
85,0,S
86,0,S
87,0,S
88,0,S
89,0,S
90,0,S
91,0,S
92,0,S
93,0,S
94,0,S
95,0,S
96,0,S
97,0,S
98,0,S
99,0,S
100,0,S
101,0,S
102,0,S
103,0,S
104,0,S
105,0,S
106,0,S
107,0,S
108,0,S
109,0,S
110,0,S
111,0,S
112,0,S
113,0,S
114,0,S
115,0,S
116,0,S
117,0,S
118,0,S
119,0,S
120,0,S
121,0,S
122,0,S
123,0,S
124,0,S
125,0,S
126,0,S
127,0,S
128,0,S
129,0,S
130,0,S
131,0,S
132,0,S
133,0,S
134,0,S
135,0,S
136,0,S
137,0,S
138,0,S
139,0,S
140,0,S
141,0,S
142,0,S
143,0,S
144,0,S
145,0,S
146,0,S
147,0,S
148,0,S
149,0,S
150,0,S
151,0,S
152,0,S
153,0,S
154,0,S
155,0,S
156,0,S
157,0,S
158,0,S
159,0,S
160,0,S
161,0,S
162,0,S
163,0,S
164,0,S
165,0,S
166,0,S
167,0,S
168,0,S
169,0,S
170,0,S
171,0,S
172,0,S
173,0,S
174,0,S
175,0,S
176,0,S
177,0,S
178,0,S
179,0,S
180,0,S
181,0,S
182,0,S
183,0,S
184,0,S
185,0,S
186,0,S
187,0,S
188,0,S
189,0,S
190,0,S
191,0,S
192,0,S
193,0,S
194,0,S
195,0,S
196,0,S
197,0,S
198,0,S
199,0,S
200,0,S
201,0,S
202,0,S
203,0,S
204,0,S
205,0,S
206,0,S
207,0,S
208,0,S
209,0,S
210,0,S
211,0,S
212,0,S
213,0,S
214,0,S
215,0,S
216,0,S
